SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	2305	80723	42770
25	2305	1389605	1253178
26	2305	1074159	973544
27	2305	1279553	1155617
0	2306	80843	41207
25	2306	1390824	1248013
26	2306	1080382	973451
27	2306	1280376	1150827
0	2307	81126	40674
25	2307	1392335	1246705
26	2307	1084333	977147
27	2307	1280483	1150651
0	2308	80786	39559
25	2308	1390185	1240011
26	2308	1091655	980500
27	2308	1282386	1148707
0	2309	84138	39765
25	2309	1389585	1232836
26	2309	1087700	971806
27	2309	1284112	1144215
0	2310	85072	39219
25	2310	1406066	1235482
26	2310	1095563	970116
27	2310	1295933	1144616
0	2311	85405	38025
25	2311	1408380	1237602
26	2311	1098039	973767
27	2311	1300625	1149412
0	2312	88598	37852
25	2312	1420943	1240415
26	2312	1111671	978871
27	2312	1312670	1153804
0	2313	88003	35147
25	2313	1404909	1213529
26	2313	1110735	969391
27	2313	1303846	1135186
0	2314	92671	35461
25	2314	1411679	1213674
26	2314	1114895	968862
27	2314	1312162	1137654
0	2315	93374	33738
25	2315	1413512	1204650
26	2315	1114554	958662
27	2315	1309738	1126517
0	2316	88028	29822
25	2316	1408889	1199658
26	2316	1108324	953170
27	2316	1307276	1123501
