SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
19	1212	258734	246851
20	1212	255070	243686
21	1212	245492	233723
22	1212	244591	232541
23	1212	285037	271946
24	1212	298452	284710
0	1213	35427	18360
13	1213	304940	292861
14	1213	282770	269440
15	1213	246322	236003
16	1213	253139	241862
17	1213	246029	235183
18	1213	269042	257728
19	1213	259246	247207
20	1213	255987	244574
21	1213	246071	234278
22	1213	245630	233580
23	1213	284889	271185
24	1213	298899	284758
0	1214	37830	18630
13	1214	306457	293287
14	1214	284561	270274
15	1214	248224	237136
16	1214	254810	242784
17	1214	248097	236423
18	1214	270857	258928
19	1214	260980	247864
20	1214	257203	245138
21	1214	247294	234379
22	1214	248000	235089
23	1214	287565	273219
24	1214	300635	285669
0	1215	37938	18542
13	1215	306131	292322
14	1215	285459	270494
15	1215	247524	235712
16	1215	255226	242760
17	1215	249342	237399
18	1215	272274	259734
19	1215	260817	247404
20	1215	258500	245737
21	1215	248371	235081
22	1215	247799	234274
23	1215	287188	272259
24	1215	301793	285883
0	1216	38856	18613
13	1216	307171	292688
14	1216	285137	269886
15	1216	249168	237140
16	1216	255170	242391
17	1216	249317	236815
18	1216	272590	259467
19	1216	261833	248347
20	1216	259753	246673
21	1216	248437	234632
22	1216	249487	235330
23	1216	288308	272814
24	1216	304740	288404
0	1301	35288	20682
13	1301	271308	261890
14	1301	261308	250884
15	1301	223018	214836
16	1301	230539	222071
17	1301	220777	211751
18	1301	240279	231590
19	1301	240496	231202
20	1301	231530	222722
21	1301	221868	211517
22	1301	224980	215423
23	1301	262769	252386
24	1301	274131	263723
0	1302	33518	19803
13	1302	273135	264241
14	1302	262619	252585
15	1302	224762	217054
16	1302	232794	224574
17	1302	222132	213655
18	1302	243230	235039
19	1302	241695	232880
20	1302	233220	224930
21	1302	223689	214329
22	1302	227051	218180
23	1302	264004	254142
24	1302	276647	266394
0	1303	32543	18911
13	1303	275053	266165
14	1303	262835	253051
15	1303	225432	217852
16	1303	233272	225190
17	1303	223023	214773
18	1303	244980	236755
19	1303	243050	234267
20	1303	234467	226085
21	1303	225384	216354
22	1303	227474	218712
23	1303	265093	255430
24	1303	277048	267181
0	1304	32905	19134
13	1304	275896	266773
14	1304	265676	255511
15	1304	226673	219171
16	1304	235934	227711
17	1304	225934	217665
18	1304	247161	238809
19	1304	243185	234119
20	1304	235916	227490
21	1304	225479	216010
22	1304	228484	219485
23	1304	265828	255888
24	1304	279242	269045
0	1305	32703	18793
13	1305	278683	269517
14	1305	266614	256283
15	1305	229238	221192
16	1305	237469	228993
17	1305	225967	217600
18	1305	249432	240862
19	1305	244948	235861
20	1305	237053	228411
21	1305	228505	219049
22	1305	230924	221649
23	1305	268167	258083
24	1305	280072	269700
0	1306	32635	18466
13	1306	280586	271124
14	1306	268495	257890
15	1306	230430	222310
16	1306	238400	229677
17	1306	227912	219403
18	1306	249466	240773
19	1306	245912	236452
20	1306	238831	229976
21	1306	230249	220470
22	1306	232264	222839
23	1306	270229	259667
24	1306	280833	270188
0	1307	31866	18058
13	1307	284431	274598
14	1307	271047	260016
15	1307	232490	223958
16	1307	240366	231380
17	1307	230351	221522
18	1307	254104	244891
19	1307	248328	238463
20	1307	241404	232095
21	1307	232981	222998
22	1307	234170	224303
23	1307	272435	261476
24	1307	284208	273138
0	1308	33010	18411
13	1308	289286	278932
14	1308	275879	264349
15	1308	236812	227829
16	1308	243866	234317
17	1308	234616	225095
18	1308	257597	248051
19	1308	252133	241755
20	1308	245162	235604
21	1308	237008	226359
22	1308	237883	227379
23	1308	275950	264395
24	1308	290004	278060
0	1309	33283	18541
13	1309	293984	282984
14	1309	279196	267332
15	1309	240989	231544
16	1309	248046	238078
17	1309	238774	229019
18	1309	262173	251836
19	1309	255538	244643
20	1309	249506	239268
21	1309	240389	229275
22	1309	241058	230352
23	1309	280135	268077
24	1309	294487	281931
0	1310	34232	18820
13	1310	299523	287341
14	1310	283319	270173
15	1310	243325	233140
16	1310	251084	240024
17	1310	242235	231416
18	1310	266492	255296
19	1310	257688	245875
20	1310	252432	241149
21	1310	243454	231653
22	1310	243518	231526
23	1310	282895	269622
24	1310	297770	283801
0	1311	34791	18948
13	1311	303089	290550
14	1311	284001	270351
15	1311	245599	234960
16	1311	252562	241125
17	1311	244409	233467
18	1311	268437	256942
19	1311	259060	246997
20	1311	254248	242467
21	1311	245172	233176
22	1311	245248	233042
23	1311	284234	270534
24	1311	299231	285059
0	1312	34911	19124
13	1312	307086	293774
14	1312	287363	273012
15	1312	249073	237853
16	1312	256606	244577
17	1312	248559	237016
18	1312	272698	260564
19	1312	263430	250649
20	1312	258301	246080
21	1312	248023	235083
22	1312	249095	235961
23	1312	288945	274431
24	1312	304207	289164
0	1313	35646	19037
13	1313	310108	296488
14	1313	288661	274007
15	1313	250586	238997
16	1313	257328	245057
17	1313	249781	237926
18	1313	275326	262855
19	1313	264385	251150
20	1313	260155	247741
21	1313	249550	236515
22	1313	250105	236589
23	1313	290191	275502
24	1313	305975	290675
0	1314	37655	19119
13	1314	311171	296923
14	1314	290086	274806
15	1314	253162	241170
16	1314	259581	246481
17	1314	251312	238900
18	1314	276562	263461
19	1314	265297	251175
20	1314	262656	249314
21	1314	252341	238323
22	1314	251448	237427
23	1314	291792	276451
24	1314	307448	291304
0	1315	38473	19208
13	1315	311079	296301
14	1315	290101	274039
15	1315	252455	239854
16	1315	259566	246356
17	1315	252148	239226
18	1315	275658	262076
19	1315	266313	252018
20	1315	261226	247530
21	1315	251674	237168
22	1315	252283	237826
23	1315	292927	276815
24	1315	309443	292524
0	1316	38723	18854
13	1316	310747	295548
14	1316	289089	273041
15	1316	252335	239456
16	1316	259255	245613
17	1316	252052	238995
18	1316	275770	261711
19	1316	264899	250509
20	1316	263149	248986
21	1316	251692	237439
22	1316	252507	237717
23	1316	292705	276428
24	1316	309123	291630
0	2101	36128	20295
13	2101	269587	260209
14	2101	257783	247556
15	2101	221786	213751
16	2101	229311	220861
17	2101	218168	209587
18	2101	241895	233242
19	2101	237288	228047
20	2101	230540	221733
21	2101	222767	212860
22	2101	223716	214570
23	2101	259711	249670
24	2101	270716	260598
0	2102	33790	18115
13	2102	271675	262720
14	2102	258178	248212
15	2102	222896	215248
16	2102	229455	220959
17	2102	219506	211420
18	2102	243104	234850
19	2102	236957	228174
20	2102	231368	223143
21	2102	223784	214363
22	2102	225219	216369
23	2102	260067	250292
24	2102	272264	262330
0	2103	34546	18227
13	2103	273365	264320
14	2103	259187	248839
15	2103	222891	214911
16	2103	230335	221738
17	2103	219844	211603
18	2103	244616	236307
19	2103	238612	229581
20	2103	232399	223814
21	2103	224505	214931
22	2103	224356	215333
23	2103	261593	251682
24	2103	273355	263071
0	2104	34425	18212
13	2104	274975	266102
14	2104	260393	250461
15	2104	224381	216807
16	2104	231703	223579
17	2104	221575	213611
18	2104	244643	236502
19	2104	240449	231571
20	2104	233344	224844
21	2104	224991	215746
22	2104	227392	218553
23	2104	262513	252717
24	2104	274867	264938
0	2105	35063	17919
13	2105	276454	267171
14	2105	261734	251616
15	2105	225338	217573
16	2105	233081	224917
17	2105	223038	214943
18	2105	246955	238374
19	2105	240922	231901
20	2105	234801	226216
21	2105	227601	218129
22	2105	227981	219036
23	2105	263720	253717
24	2105	276096	265943
0	2106	36254	17657
13	2106	278394	268511
14	2106	264153	253107
15	2106	227340	218984
16	2106	235922	226744
17	2106	224696	215913
18	2106	248455	239383
19	2106	242590	232791
20	2106	236042	226886
21	2106	228645	218451
22	2106	228876	219143
23	2106	266411	255630
24	2106	277810	266888
0	2107	35768	17556
13	2107	280118	270445
14	2107	265167	254644
15	2107	228298	220022
16	2107	236088	227289
17	2107	226111	217391
18	2107	249329	240438
19	2107	243584	234156
20	2107	236820	227920
21	2107	229462	219483
22	2107	229641	220449
23	2107	267362	256848
24	2107	280302	269640
0	2108	36424	17630
13	2108	281822	272217
14	2108	265902	255503
15	2108	230903	222857
16	2108	236903	228419
17	2108	228758	220339
18	2108	251392	242426
19	2108	244582	235095
20	2108	238504	229427
21	2108	232132	222252
22	2108	231137	221808
23	2108	268722	258061
24	2108	281065	270511
0	2109	37372	17724
13	2109	285068	274927
14	2109	269481	258549
15	2109	232279	223597
16	2109	239153	230017
17	2109	230700	221649
18	2109	255461	245777
19	2109	247119	237318
20	2109	240500	231193
21	2109	232571	222147
22	2109	232917	222715
23	2109	270932	259900
